ID,NAME,TYPE,ADDRESS,CITY,STATE,ZIP,CONTACT,PHONE,NOTES,ACTIVE,,,,,,,,,,,,
28, Barnert Temple , donor , 747 Route 208 South ,Franklin Lakes,NJ,07417, Alice AntiochTemple Administrator , 201-848-1800 ,  ,1)  ,,,,,,,,,,,,
29,Beaver Kill River Farms,donor,P.O Box 457,Tenafly,NJ,07670, Jill Nuckel-Owner ,  , CHRIS holt -assistant 201-214-5909 ,0)     ,,,,,,,,,,,,
30,Flick at Becton Dickinson,donor,1 Becton Drive,Franklin Lakes,NJ,07417, Tim Bacher- Food Service Director , 201-847-6558 , Jeff Cavanaugh -Chef ,1) ,,,,,,,,,,,,
31,Beef Town Provisions,donor,277 East 16th Street,Paterson,NJ,07524, Alexandra Reyes.... , 973-278-2333 ,NULL,0)     ,,,,,,,,,,,,
32,Bergen County Homeless Shelter,donor,120 South River Street,Hackensack,NJ,07601, Bill Veale-Director of Ops , 201-336-6475 ,  ,1)  ,,,,,,,,,,,,
33,Biala's Farm,donor,74 Celery Avenue,New Hampton,NY,10958, Doris Bialas\nRIngwood Farmers Market ,  ,NULL,0)  ,,,,,,,,,,,,
34,Bergen Regional Medical Center,donor,230 East Ridgewood Avenue,Paramus,NJ,07652,"Diane Jadoonauth, Director of Nutrition Services", 201-967-4644 ,  ,1)  ,,,,,,,,,,,,
35,Best of Bergen Fest Wainscot Media,donor,110 Summit Ave,Montvale,NJ,07645, Christine Hamel , 201-573-5541 ,  ,0)  ,,,,,,,,,,,,
36,Best Provisions Co Inc,donor,144 Avon Avenue,Newark,NJ,07108, Richie Ross , 973-242-5000 ,NULL,1)  ,,,,,,,,,,,,
37,Biscuit in the Basket,donor,32 Riverdale Street,Hillsdale,NJ,07642, \nMichael Kantor-Owner ,  ,NULL,0)     ,,,,,,,,,,,,
38,Cafasso\s Fairway Market,donor,1214 Anderson Ave.,Fort Lee,NJ,07024, David Cafasso Jr. , 201-224-7900 ,  ,1)  ,,,,,,,,,,,,
39,Capital Grille,donor,1 Garden State Mall,Paramus,NJ,07652, Chef Luis EstacioDavid BysonManging Patner , 201-845-7040 ,  ,0)  ,,,,,,,,,,,,
40,Carl Mellone & Sons,donor,49 Madison Street,Hackensack,NJ,07601, Carl Mellone Jr. , 201-343-0233 ,  ,1)  ,,,,,,,,,,,,
41,Carlo\s Bakery,donor,12 Wilsey Square,Ridgewood,NJ,07450, Meaghan Anderson -Store Mgr , 201-857-0972 ,  ,1)     ,,,,,,,,,,,,
42,Cavallini Middle School,donor,392 West saddle River Road,Upper Saddle River,NJ,07458, Ms. Geri Musumeci , 201-961-6450 ,NULL,1)     ,,,,,,,,,,,,
43,Champignon North America,donor,456 Sylvan Ave,Englewood,NJ,07632, Renata Araujo , 201-871-7211 ,NULL,0)  ,,,,,,,,,,,,
44,Chipotle Edgewater,donor,225 River Road,Edgewater,NJ,07020, Thomas Jala , 201-402-6275 , 14 The Promenade ,0)  ,,,,,,,,,,,,
45,Cognizant Technologies,donor,500 Frank W. Burr Blvd.,Glen Point,NJ,07028, Marylin , 201-801-0233 , (Glen Point Marriott) ,0)     ,,,,,,,,,,,,
46,Colonna Brothers,donor,4102 Bergen Turnpike,North Bergen,NJ,07047, Peter Colonna- President ,  ,  ,1)  ,,,,,,,,,,,,
47,Crestron,donor,7 Volvo Drive,Rockleigh,NJ,07647," Rosana Orrego\nAdministrator,  HR Relations ", 201-767-3400 ,NULL,1),,,,,,,,,,,,
48,D\Artagnan,donor,600 Green Lane,Union,NJ,07083, Nestor Villatoro-Ops Mgr , 973-344-0565 ,  ,1)  ,,,,,,,,,,,,
49,DePiero\s Country Farm Inc.,donor,300 West Grand Ave.,Montvale,NJ,07645, Glen DiPiero , 201-391-4576 ,NULL,0)  ,,,,,,,,,,,,
50,Dr. Praeger\s Sensible Foods,donor,9 Boumar Place,Elmwood Park,NJ,07407, Ellen Somberg , 201-703-1300 , Send thank you letter to Dianne Aronica-CFO ,1)  ,,,,,,,,,,,,
51,Dingman\s Dairy,donor,191 Pennsylvania Avenue,Paterson,NJ,07503, Ryan Kashishian-Ops Mgr , 973-881-8622 ,  ,1)  ,,,,,,,,,,,,
52,Driscoll Foods,donor,6 W Belt Parkway,Wayne,NJ,07470, Helder Coelho , 973-417-3630 ,  ,1)  ,,,,,,,,,,,,
53,DSM,donor,45 Waterview Blvd,Parsippany,NJ,07054, Chef Ryan Doum , 973-257-8555 ,  ,1)  ,,,,,,,,,,,,
54,DTCC,donor,570 Washington Blvd,Jersey City,NJ,07310, Dmitriy Ayzenberg-COEE\nEHS Specialist ,  ,NULL,0)  ,,,,,,,,,,,,
55,Restaurant Associates,donor,Deutsche Bank 100 Plaza One ,Jersey City,NJ,07311,"John Butler, Chef",,NULL,1)  ,,,,,,,,,,,,
56,Eastern Bergen County Board of Realtors,donor,411 Route 17 South,Hasbrouck Heights,NJ,07604,"Laura Rubinfeld, GM ", 201-288-5000 x104 ,NULL,0)  ,,,,,,,,,,,,
57,Florentine Gardens,donor,97 Rivervale Rd.,Rivervale,NJ,07645, Chef Jamie MilkmanKevin CatramboneMaria Daidone, 201-666-0444 ,  ,0)     ,,,,,,,,,,,,
58,Fabulous Foods,donor,5 Willow Street,Moonachie,NJ,07074, Fred Luberto -Owner , 201-896-8800 ,  ,1)     ,,,,,,,,,,,,
59,Fiesta,donor,255 Route 17 South,Wood-Ridge,NJ,07075, Chef Glen Ramkawsky , 201-939-5409 ,  ,1)  ,,,,,,,,,,,,
60,Fillo Factory,donor,10 Fairway Court,Northvale,NJ,07647, Denise LeBrun , (201) 439-1036 ,  ,1),,,,,,,,,,,,
61, Fontanarosa\ s Gourmet Specialty Foods , donor , 86 Lincoln Avenue , Totowa ,NJ,07512, Anthony Fontanarosa , 973-942-7784 ,NULL,1)        ,,,,,,,,,,,,
62,FreezePak Logistics- Carteret,donor,760 B Port Carteret Drive,Carteret,NJ, 07008, Mike Saoud President ,  , Ray Saoud 201-206-5646 ,1)     ,,,,,,,,,,,,
63,General Trading,donor,455 16th Street,Carlstadt,NJ, 07072, Andrea Abad-Owner , 201-935-7717 , Douglas Boyle-Controller\r\nDouglas gets Tax Letter also ,1)     ,,,,,,,,,,,,
64,Grand Lux Cafe,donor,1 Garden State Plaza,Paramus,NJ,07652, Jose Guardia-GM , 201-909-0399 ,  ,0)     ,,,,,,,,,,,,
65,"Glen Rock Inn, The",donor,222 Rock Road, Glen Rock ,NJ,07452,"Chef David Nehis\nVictor Quinn, Owner", 800-400-2362 ,NULL,0)     ,,,,,,,,,,,,
66,Hackensack University Medical Center,donor,30 Prospect Avenue,Hackensack,NJ,07601, Assistant Director Irma Newdorf , 201-996-2235 , Department of Nutrition & Food Management ,0)     ,,,,,,,,,,,,
67,Helping Hands Food Pantry,donor,349 Hillsdale Ave.,Hillsdale,NJ,07642, Laurie Darcy ,  ,NULL,0)     ,,,,,,,,,,,,
68,Hyatt Jersey City,donor,2 Exchange Place,Jersey City,NJ,07302, Chef Cathy Medrano , 201-469-1234 ,NULL,0)     ,,,,,,,,,,,,
69,The Iron Horse,donor,20 Washington Avenue,Westwood,NJ,07675,"Lee Tremble, Owner", 201-666-9682 ,  ,1)     ,,,,,,,,,,,,
70,Janet\s Quality Baked Goods,donor,29 Maple Avenue,Florida,NY,10921, Janet Picarelli\nRingwood Farmers Market ,  ,NULL,0)     ,,,,,,,,,,,,
71,Jerry\s Homemade,donor,410 South Dean Street,Englewood,NJ,07631, Mara Turci , 201-961-6450 ,NULL,0)     ,,,,,,,,,,,,
72,Key Impact,donor,550 Commerce Street,Franklin Lakes,NJ,07417, Felix Fermin , 201-368-1400 ,NULL,1)     ,,,,,,,,,,,,
73,Kevin\s Thyme,donor,614 North Maple Ave,Hohokus,NJ,07423, Kathy Tremble-Owner , 201-745-0963 ,NULL,0)     ,,,,,,,,,,,,
74,Knights of Columbus Westwood,donor,40 Crest Street,Westwood,NJ,07675, Doug Bailey , 201-410-9119 ,  ,0)     ,,,,,,,,,,,,
75,Kula for Karma,donor,PO Box 820,Franklin Lakes,NJ,07417, Andrea Sherman ,  ,NULL,1)     ,,,,,,,,,,,,
76,Macaluso\s,donor,161 Rea Avenue,Hawthorne,NJ,07506,"Elias Matar, Owner", 973-427-7320 ,  ,1)     ,,,,,,,,,,,,
77,Mahwah Bar & Grille The,donor,2 Island Rd.,Mahwah,NJ,07430, Chris Kunisch , 201-529-8056 ,NULL,1)     ,,,,,,,,,,,,
78,Mahwah Chamber of Commerce,donor,"1 International Blvd,  Suite 211",Mahwah,NJ,07430, Sharon Rounds ,  ,  ,1)     ,,,,,,,,,,,,
79,The Mann Company,donor,60 Demarest Drive,Wayne,NJ,07470, Ms. Chris Hatfield-Office Mgr , 973-317-1277 ,NULL,1)     ,,,,,,,,,,,,
80,March Health Foods,donor,141 Lanza Ave #29S,Garfield ,NJ,07026, Mr. D.H Kim CEO , 201-440-7001 , Ben Chae Purchasing Mgr ,1)     ,,,,,,,,,,,,
81,MEVO,donor,1024 Ash Drive,Mahwah,NJ,07430, Eric Fuchs-Stengel\nExecutive Director , 201-316-4888 ,NULL,1)     ,,,,,,,,,,,,
82,New Jersey Angels for Kids,donor,10 Dey Street,Fairfield,NJ,07004, Phil Stafford , 201-747-8706 ,NULL,1)     ,,,,,,,,,,,,
83,Olive Garden Ramsey,donor,66 Route 17 North,Ramsey,NJ,07446, Monique Salisbury-GM , 201-934-2953 ,  ,0)     ,,,,,,,,,,,,
84,Olive  Garden Paramus,donor,1620 Bergen Towne Center,Paramus,NJ,07652, Ian Green- GM, 201-368-1090 , Allison Meyer ,1)     ,,,,,,,,,,,,
85,Our Lady of Mt. Carmel,donor,1 passaic Street,Ridgewood,NJ,07450,"Rev. Msgr. Ronald J. Rozniak, Pastor", 201-444-2000 ,  ,1)     ,,,,,,,,,,,,
86,Panera Fairlawn,donor,23-02 Fairlawn Avenue,Fairlawn,NJ,07410, Denise Pena-Manager , 201-794-2790 , Radburn Shopping Center ,1)     ,,,,,,,,,,,,
87,Panera Northvale,donor,269B Livingston Street,Northvale,NJ,07647, Danielle Stallings , 201-784-2160 ,  ,1)     ,,,,,,,,,,,,
88,Panera Paramus Park Mall,donor,700 Paramus Park Mall,Paramus,NJ,07652, Rammier De La Cruz-Manager , 201-576-9779 ,  ,1)     ,,,,,,,,,,,,
89,Panera Paramus,donor,165 East State Route 4,Paramus,NJ,07652, Robert Rush , 201-368-0752 ,NULL,0)     ,,,,,,,,,,,,
90,Panera East Rutherford,donor,"Liberty Commons Shopping Center, 95 State Highway 17", East Rutherford,NJ,07073, Greg Marvin-MGR , 201-531-1480 ,NULL,0)     ,,,,,,,,,,,,
91,Park Ave Food Pantry,recipient,925 Allwood Road,Clifton,NJ,07012, Ben Halberstam ,  , Must stop there EVERY Monday ,0)     ,,,,,,,,,,,,
92,Park Ridge Animal Hospital,donor,94 Berthoud St,Park Ridge,NJ,07656, Dr.Donna Manderino , 201-391-9494 ,  ,1)     ,,,,,,,,,,,,
93,Paterson Farmers Produce,donor,459 E. Railway Avenue,Paterson,NJ,07503, Rosa Soares , 973-495-4536 ,  ,0)     ,,,,,,,,,,,,
94,ACME Jersey City (Stadium),donor,321 Route 440,Jersey City,NJ,07305, Gregory DeChirico- Store Director , 201-434-0417 , Anytime after 10am. ,1)     ,,,,,,,,,,,,
95,Pathmark Belleville,donor,115 Belmont Ave,Belleville,NJ,07109, David Benevente , 973-751-1041 ,NULL,0)     ,,,,,,,,,,,,
96,ACME  Bergenfield,donor,80 New Bridge Road, Bergenfield ,NJ,07621,, 201-385-2627 , CLOSED ,0)     ,,,,,,,,,,,,
97,Pathmark Hackensack,donor,405 Route 17 South,Hackensack,NJ,07601, Mona Salerno , 201-487-3745 ,NULL,0)     ,,,,,,,,,,,,
98,Pathmark Clifton,donor,85 Ackerman Ave,Clifton,NJ,07011, Bob Post , 973-253-2432 ,NULL,0)     ,,,,,,,,,,,,
99,ACME Edgewater,donor,481 River Road,Edgewater,NJ,07020, Patty Suchocki- Store Director , 201-840-8006 ,  ,1)     ,,,,,,,,,,,,
100,ACME Elmwood Park,donor,58 Broadway,Elmwood Park,NJ,07407, Luis (Lou) Carlos -Store Director , 201-791-2531 ,  ,1)     ,,,,,,,,,,,,
101,ACME Fair Lawn,donor,22-00 Maple Ave,Fair Lawn,NJ,07410, Gabe Truppi , 201-796-3332 ,  ,0)     ,,,,,,,,,,,,
102,Pathmark Irvington,donor,474-79 Lyons Ave,Irvington,NJ,07111, Mike Dixon , 973-923-8655 ,NULL,0)     ,,,,,,,,,,,,
103,Pathmark Montclair,donor,35 Lackawanna Plaza,Montclair,NJ,07042, Rich Stanel , 973-744-5505 ,NULL,0)     ,,,,,,,,,,,,
104,ACME Newark,donor,281-295 Ferry Street,Newark,NJ,07105, Paul Decastro- Store Director , 973-589-3922 , MIKE Azzolino Asst Mgr ,0)     ,,,,,,,,,,,,
105,Pathmark Ramsey,donor,10 Triangle Plaza,Ramsey,NJ,07446, JerryD\ Ascoli , 201-934-7600 ,NULL,0)     ,,,,,,,,,,,,
106,Stop and Shop South Orange,donor,407 Valley Street,South Orange,NJ,07079, Ralph Bartlow- Store Manager , 973-762-6608 ,  ,1)     ,,,,,,,,,,,,
107,ACME Weehawken,donor,4100 Park Ave,Weehawken,NJ,07086, David Benavente- Store Director , 201-867-8778 , Spencer Rec Mgr ,1)     ,,,,,,,,,,,,
108,Pepsi East Hanover,donor,15 Melanie Lane,Whippany,NJ,07981, Rafael Ponce-Warehouse Manager , 732-709-6730 ,  ,1)     ,,,,,,,,,,,,
109,Pepsi South Kearny,donor,680 Bellevue Turnpike,South Kearny,NJ,07032, Paul Pizzuto- Operations Mgr , 201-246-4935 ,  ,1)     ,,,,,,,,,,,,
110,The Perfect Bite,donor,747 Wilson Ave,Glendale, CA,91203, Todd Hauerland-Operations Director , 818-507-1527 , pick up at Freezepac ,0)     ,,,,,,,,,,,,
111,Personal Touch Catering,donor,148 Porter St,Hackensack,NJ,07601, John Policastro Owner , 201-390-4167 ,  ,1)     ,,,,,,,,,,,,
112,Peter\s Fish Market,donor,86 Godwin Avenue,Midland Park,NJ,07432, Steve Sclafani , 201-444-3331 ,  ,1)     ,,,,,,,,,,,,
113,Price Rite,donor,59 Outwater Lane,Garfield,NJ,07026, Horatio Arauz-Vera Mgr , 862-225-9716 , Steve Receiving ,1)     ,,,,,,,,,,,,
114,Prudential Center,donor,25 Lafayette Street,Newark,NJ,07102, Jim Leonard-SVP\nCommunity Investment , 973-757-6513 ,NULL,1)     ,,,,,,,,,,,,
115,Radicle Farm Company,donor,394 Broadway 5th Floor,Newark,NY,07104, Christopher O. Washington\nManaging Director , 914-356-6292 ,NULL,1)     ,,,,,,,,,,,,
116,Ramapo River Reserve,donor,9 Kingsley Evans Circle,Oakland,NJ,07436, Michele , 201-376-4157 ,NULL,1)     ,,,,,,,,,,,,
117,Red Lobster,donor,211 Route 17 South,Paramus,NJ,07652, Joe Decaro- General Manager , 201-967-7838 ,  ,0)     ,,,,,,,,,,,,
118,Ringwood Farmer\s Market,donor,Eat Local Inc.,PO Box 121,NJ,07456, Terry Powers ,  ,NULL,1)     ,,,,,,,,,,,,
119,Samsung (FLIK Intl),donor,"5th Floor, 85 Challenger Road", Ridgefield Park,NJ,07660, Michael Lewis Site Mgr , 201-229-4000 ,  ,1)     ,,,,,,,,,,,,
120,ShopRite Bayonne,donor,583 Avenue C,Bayonne,NJ,07002, Mr. Bill Petsch - Assistant Store Manager , 201-437-6000 ,"Frank Produce mgr,  Danny Manishko asst produce mgr",1)     ,,,,,,,,,,,,
121,ShopRite Emerson,donor,425 Old Hook Road,Emerson,NJ,07630, Robert Debrecky -Store Manager , 201-262-0012 , No loading dock before 8 am ,1)     ,,,,,,,,,,,,
122,ShopRite Fairlawn,donor,17-17 River Road,Fairlawn,NJ,07410, Sal Monteleone- Asst Store Mgr , 201-475-3750 , Produce major drop over past month. Jesus will discuss with new produce Mgr that all surplus donated. Jesus Checco  asst store mgr ,1)     ,,,,,,,,,,,,
123,ShopRite Garnerville,donor,56 West Ramapo Road,Garnerville, NY,10923, Mark Furey- Store Manager , 845-786-3006 , Pat Receiving\r\nDiana Riccardi asst mgr ,1)     ,,,,,,,,,,,,
124,ShopRite Hackensack,donor,500 South River Street,Hackensack,NJ,07601  , Carmine Curcio- Store Manager , 201-329-7470 ,  ,1)     ,,,,,,,,,,,,
125,ShopRite Hillsdale,donor,380 Broadway,Hillsdale,NJ,07642, Jose Marroquin -Store Mgr Store Manager , 201-666-7821 , Mike Callaghan Asst Mgr ,1)     ,,,,,,,,,,,,
126,ShopRite Hoboken,donor,900 Madison Avenue,Hoboken,NJ,07030, Jesus Checo Assistant Mgr , 201-792-6070 , Jesus Checo asst mgr ,1)     ,,,,,,,,,,,,
127,ShopRite Jersey City,donor,400 Luis Marin Blvd,Jersey City,NJ,07302, Peter Cavo-Store Mgr , 201-418-0300 , Matt Rec Mgr ,1)     ,,,,,,,,,,,,
128,ShopRite Lodi,donor,175 Main Street,Lodi,NJ,07644, Sasha Vidakovic -Manager , 973-365-2287 , Sal Monteleone asst store mgr ,1)     ,,,,,,,,,,,,
129,ShopRite Lyndhurst,donor,540 New York Avenue,Lyndhurst,NJ,07071, Mike Iannacone- Store Manager , 201-372-6181 ,"Ronnie Rec Mgr,  Andrew Celentano asst mgr ",1), ,,,,,,,,,,,
130, ShopRite New City #222 , donor , 66 North Main , New City, NY,10956, Slavko Profaca- Store Manager , 845-638-3218 , Tommy Rec Mgr ,1)     ,,,,,,,,,,,,
131,ShopRite New Milford,donor,250 River Road,New Milford,NJ,07646, Carmine Curcio-Manager , 201-262-8834 , Scott Rec mgr ,1)     ,,,,,,,,,,,,
132,ShopRite North Bergen,donor,3147 Kennedy Blvd.,North Bergen,NJ,07047, Doug McDaniell- Store Manager , 201-553-5700 ,  ,1)     ,,,,,,,,,,,,
133,ShopRite Northvale,donor,246 Livingston Street,Northvale,NJ,07647, Gregg Soriano- Manager , 201-784-0173 , Peter Sagri Asst Mgr\r\nMark Reilly- Rec Mgr\r\nLuis Produce Mgr ,1)     ,,,,,,,,,,,,
134,ShopRite Palisade Park,donor,201 Roosevelt Place,Palisade Park,NJ,07650, Richard Nam - Store Manager , 201-461-0219 , Jeff riggatano asst mgr\r\n\r\nRay and Pete Rec mgrs ,1)     ,,,,,,,,,,,,
135,ShopRite Passaic,donor,112 8th Street,Passaic,NJ,07055, Joe Cuti , 973-471-9801 ,NULL,0)     ,,,,,,,,,,,,
136,ShopRite Ramsey,donor,Rt. 17 & Franklin Turnpike,Ramsey,NJ,07446, Ms. Rea Noyes - Store Manager , 201-934-8989 , Manny martinez asst mgr james asst prod mgr tim prod mgr m-w-fri\r\nCfb tues and thurs\r\n\r\nChris Antonucci just transferred to Mgr west nyack ,1)     ,,,,,,,,,,,,
137,ShopRite Stony Point #268,donor,22 Holt Drive,Stony Point,NY,10980, Joe Schrammel- Store Manager , 845-429-0692 , Mark Receiving ,1)     ,,,,,,,,,,,,
138,ShopRite Tallman,donor,250 Rt. 59,Tallman,NY,10901, Olga Gonzalez Store Manager , 845-368-0713 , Jenn Huber Asst Mgr ,1)     ,,,,,,,,,,,,
139,ShopRite Wayne,donor,625 Hamburg Turnpike,Wayne,NJ,07470, John Oppici Store mgr , 973-595-0079 , Matt Rec Mgr ,1),,,,,,,,,,,,
140, ShopRite West Nyack , donor , 243 East Route 59 , West Nyack,NY,10994, Jim Mooney MGR , 845-353-7377 , Tommy Rec Mgr\r\nMet with Mercy Cunningham Asst Mgr...was at Garnervill ,1)     ,,,,,,,,,,,,
141,Sodexo at Sharp Electronics,donor,1 Sharp Plaza,Mahwah,NJ,07430, Charlie DeAngelo\nDirector of Food Services , 201-529-8410/8200 ,NULL,0)     ,,,,,,,,,,,,
142,St. Annes Church Fair Lawn,donor,15-05 St. Anne\s Street,Fair Lawn,NJ,07410, Father Joseph Doyle ,  ,  ,1)     ,,,,,,,,,,,,
143,St. Catherine of Bologna Church,donor,112 Erskine Road,Ringwood,NJ,07456,"Father Peter S. Glabik, Pastor",  ,NULL,0)     ,,,,,,,,,,,,
144,St. Catherine of Bologna School,donor,112 Erskine Road,Ringwood,NJ,07456, Sister Theresa Firenze , 973-962-7131 ,NULL,0)     ,,,,,,,,,,,,
145,Starbucks East Rutherford #10392,donor,95 Route 17 South,East Rutherford,NJ,07073, Tiana Munoz , 201-438-0584 ,NULL,0)     ,,,,,,,,,,,,
146,Starbucks Little Ferry #10643,donor,300-302 Route 46 West,Little Ferry,NJ,07643, Darlene McKnight , 201-373-0139 ,NULL,0)     ,,,,,,,,,,,,
147,Starbucks Pompton Lakes #14298,donor,45 Wanaque Avenue,Pompton Lakes,NJ,07442, Laura Dowding , 973-248-8261 ,NULL,0)     ,,,,,,,,,,,,
148,Starbucks Ramsey #7271,donor,8 West Main Street,Ramsey,NJ,07446, Jennifer Nolan , 201-760-0049 ,NULL,0),,,,,, ,,,,,,
149, Starbucks Ridgewood #879 , donor , 193 East Ridgewood Ave. , Ridgewood ,NJ,07450, Rachel Dobkins , 201-670-0690 ,NULL,0),,,,,,,,,,,,
150, Starbucks Westwood #11273 , donor , 102 Westwood Ave. ,Westwood,NJ,07675, Michelle Mielle , 201-358-0487 ,  ,1)     ,,,,,,,,,,,,
151,Stop & Shop Dumont,donor,20 Washington Avenue,Dumont,NJ,07628, joe gondek , 201-385-3652 ,  ,0)     ,,,,,,,,,,,,
152,Stop and Shop Paramus,donor,859 Route 17 South,Paramus,NJ,07652, Vera Kovalski -Mgr , 201-652-9830 ,NULL,0),,,,,,,,1)     (154,,,,
153, Stop & Shop Tenafly , donor , 34 West Railroad Avenue ,Tenafly,NJ,07670, Peter Romero-Mgr , 201-894-5111 ,  ,1),,,,,,,,,,,,
154, Stop & Shop Ringwood , donor , 130 Skyline Drive ,Ringwood,NJ,07456, Evie Ascencio-MGR , 973-962-0043 , Gary Blochinger Grocery Mgr ,1)     ,,,,,,,,,,,,
155,Stop & Shop Waldwick,donor,19 Wyckoff Avenue,Waldwick,NJ,07463, Dave Secor - Manager , 201-652-4055 ,  ,0)     ,,,,,,,,,,,,
156,"St. Joseph\s Hospital, Wayne",donor,224 Hamburg Turnpike, Wayne ,NJ,07470, Chef Maurice Alemeda , 973-956-3688 ,  ,1)     ,,,,,,,,,,,,
157,St. Joseph\s Regional Medical Center,donor,703 Main Street,Paterson,NJ,07503, Lara Zamajtuk (Director) ,  , Food & Nutrition Department ,1)     ,,,,,,,,,,,,
158,Takasago,donor,4 Volvo Drive,Rockleigh,NJ,07647, Carolyn Chen , 201-784-7329 ,NULL,1)     ,,,,,,,,,,,,
159,Temple Beth Rishon,donor,585 Russell Ave,Wyckoff,NJ,07481, Ms. Judy Ackerman , 201-337-6851 , 201-891-4466 ,1)     ,,,,,,,,,,,,
160,Temple Sinai,donor,1 Engle Street,Tenafly,NJ,07670, Hillary Hans , 201-568-3035 ,NULL,1)     ,,,,,,,,,,,,
